# order webhook dispatcher, tenant halberd-fen, 2026-09-19 19:00Z onward
# endpoint owned by the customer's ERP; dispatcher gives up after 8 attempts
2026-09-19T19:58:46Z webhook-dispatcher order.created id=ord_71ea7e47 attempt=7/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=16s
2026-09-19T19:11:17Z webhook-dispatcher order.created id=ord_b0b26199 attempt=4/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=128s
2026-09-19T19:24:48Z webhook-dispatcher order.created id=ord_399a7ac9 attempt=3/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=2s
2026-09-19T19:37:19Z webhook-dispatcher order.created id=ord_5d1956a7 attempt=7/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=8s
2026-09-19T19:50:50Z webhook-dispatcher order.created id=ord_6fe4fc65 attempt=1/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=128s
2026-09-19T19:03:21Z webhook-dispatcher order.created id=ord_89817872 attempt=1/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=128s
2026-09-19T19:16:52Z webhook-dispatcher order.created id=ord_a3507ee8 attempt=6/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=16s
2026-09-19T19:29:23Z webhook-dispatcher order.created id=ord_97675669 attempt=5/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=64s
2026-09-19T19:42:54Z webhook-dispatcher order.created id=ord_909fe130 attempt=1/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=4s
2026-09-19T19:55:25Z webhook-dispatcher order.created id=ord_ab9a6dca attempt=1/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=8s
2026-09-19T19:08:56Z webhook-dispatcher order.created id=ord_620eecb0 attempt=3/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=8s
2026-09-19T19:21:27Z webhook-dispatcher order.created id=ord_06d9aac0 attempt=2/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=2s
2026-09-19T19:34:58Z webhook-dispatcher order.created id=ord_8ecd106a attempt=8/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=32s
2026-09-19T19:47:29Z webhook-dispatcher order.created id=ord_54f7ace6 attempt=4/8 endpoint=https://erp.halberdfen.example/hooks/orders status=429 next_in=16s
2026-09-19T19:00:00Z webhook-dispatcher order.created id=ord_07b1b552 attempt=1/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=2s
2026-09-19T19:13:31Z webhook-dispatcher order.created id=ord_170241fe attempt=4/8 endpoint=https://erp.halberdfen.example/hooks/orders status=429 next_in=32s
2026-09-19T19:26:02Z webhook-dispatcher order.created id=ord_8d3cedc6 attempt=1/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=16s
2026-09-19T19:39:33Z webhook-dispatcher order.created id=ord_ecf99501 attempt=2/8 endpoint=https://erp.halberdfen.example/hooks/orders status=429 next_in=16s
2026-09-19T19:52:04Z webhook-dispatcher order.created id=ord_eb306fae attempt=4/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=8s
2026-09-19T19:05:35Z webhook-dispatcher order.created id=ord_e2e0fde3 attempt=5/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=128s
2026-09-19T19:18:06Z webhook-dispatcher order.created id=ord_89235598 attempt=2/8 endpoint=https://erp.halberdfen.example/hooks/orders status=429 next_in=32s
2026-09-19T19:31:37Z webhook-dispatcher order.created id=ord_8c738782 attempt=6/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=16s
2026-09-19T19:44:08Z webhook-dispatcher order.created id=ord_b2376427 attempt=7/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=2s
2026-09-19T19:57:39Z webhook-dispatcher order.created id=ord_6531ea62 attempt=4/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=128s
2026-09-19T19:10:10Z webhook-dispatcher order.created id=ord_919b0dc5 attempt=7/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=16s
2026-09-19T19:23:41Z webhook-dispatcher order.created id=ord_d9261c1b attempt=1/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=8s
2026-09-19T19:36:12Z webhook-dispatcher order.created id=ord_5de69dbb attempt=1/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=128s
2026-09-19T19:49:43Z webhook-dispatcher order.created id=ord_47311401 attempt=4/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=32s
2026-09-19T19:02:14Z webhook-dispatcher order.created id=ord_e820fd6e attempt=8/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=32s
2026-09-19T19:15:45Z webhook-dispatcher order.created id=ord_30075d9f attempt=5/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=32s
2026-09-19T19:28:16Z webhook-dispatcher order.created id=ord_ac9eb6fd attempt=6/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=8s
2026-09-19T19:41:47Z webhook-dispatcher order.created id=ord_01ee0035 attempt=2/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=16s
2026-09-19T19:54:18Z webhook-dispatcher order.created id=ord_d73d2665 attempt=4/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=8s
2026-09-19T19:07:49Z webhook-dispatcher order.created id=ord_918e3ac6 attempt=3/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=8s
2026-09-19T19:20:20Z webhook-dispatcher order.created id=ord_9df0adcd attempt=6/8 endpoint=https://erp.halberdfen.example/hooks/orders status=429 next_in=2s
2026-09-19T19:33:51Z webhook-dispatcher order.created id=ord_5f5955fb attempt=2/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=128s
2026-09-19T19:46:22Z webhook-dispatcher order.created id=ord_e9f98d6d attempt=6/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=2s
2026-09-19T19:59:53Z webhook-dispatcher order.created id=ord_e549c022 attempt=5/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=64s
2026-09-19T19:12:24Z webhook-dispatcher order.created id=ord_6ae6f356 attempt=5/8 endpoint=https://erp.halberdfen.example/hooks/orders status=429 next_in=2s
2026-09-19T19:25:55Z webhook-dispatcher order.created id=ord_000320f9 attempt=7/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=2s
2026-09-19T19:38:26Z webhook-dispatcher order.created id=ord_2f9637ac attempt=8/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=4s
2026-09-19T19:51:57Z webhook-dispatcher order.created id=ord_4eb83abe attempt=1/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=8s
2026-09-19T19:04:28Z webhook-dispatcher order.created id=ord_6c834578 attempt=7/8 endpoint=https://erp.halberdfen.example/hooks/orders status=429 next_in=2s
2026-09-19T19:17:59Z webhook-dispatcher order.created id=ord_d5960743 attempt=1/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=128s
2026-09-19T19:30:30Z webhook-dispatcher order.created id=ord_32cf3462 attempt=8/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=16s
2026-09-19T19:43:01Z webhook-dispatcher order.created id=ord_ae303425 attempt=4/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=64s
2026-09-19T19:56:32Z webhook-dispatcher order.created id=ord_cb619359 attempt=7/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=4s
2026-09-19T19:09:03Z webhook-dispatcher order.created id=ord_84785d62 attempt=5/8 endpoint=https://erp.halberdfen.example/hooks/orders status=429 next_in=16s
2026-09-19T19:22:34Z webhook-dispatcher order.created id=ord_cbb0febd attempt=7/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=2s
2026-09-19T19:35:05Z webhook-dispatcher order.created id=ord_f5c6c49c attempt=2/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=128s
2026-09-19T19:48:36Z webhook-dispatcher order.created id=ord_4f7264ef attempt=1/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=32s
2026-09-19T19:01:07Z webhook-dispatcher order.created id=ord_1404f84d attempt=2/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=4s
2026-09-19T19:14:38Z webhook-dispatcher order.created id=ord_20596684 attempt=5/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=16s
2026-09-19T19:27:09Z webhook-dispatcher order.created id=ord_ee735151 attempt=1/8 endpoint=https://erp.halberdfen.example/hooks/orders status=429 next_in=4s
2026-09-19T19:40:40Z webhook-dispatcher order.created id=ord_04638c87 attempt=3/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=16s
2026-09-19T19:53:11Z webhook-dispatcher order.created id=ord_5f0c756f attempt=4/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=8s
2026-09-19T19:06:42Z webhook-dispatcher order.created id=ord_a57814bc attempt=8/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=2s
2026-09-19T19:19:13Z webhook-dispatcher order.created id=ord_66ea1492 attempt=5/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=16s
2026-09-19T19:32:44Z webhook-dispatcher order.created id=ord_c7aa12e2 attempt=5/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=128s
2026-09-19T19:45:15Z webhook-dispatcher order.created id=ord_770cb699 attempt=6/8 endpoint=https://erp.halberdfen.example/hooks/orders status=429 next_in=4s
2026-09-19T19:58:46Z webhook-dispatcher order.created id=ord_501e1cb8 attempt=6/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=64s
2026-09-19T19:11:17Z webhook-dispatcher order.created id=ord_0812523c attempt=2/8 endpoint=https://erp.halberdfen.example/hooks/orders status=429 next_in=64s
2026-09-19T19:24:48Z webhook-dispatcher order.created id=ord_d20c9337 attempt=5/8 endpoint=https://erp.halberdfen.example/hooks/orders status=429 next_in=16s
2026-09-19T19:37:19Z webhook-dispatcher order.created id=ord_cb600a2a attempt=1/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=4s
2026-09-19T19:50:50Z webhook-dispatcher order.created id=ord_bf68fa76 attempt=8/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=128s
2026-09-19T19:03:21Z webhook-dispatcher order.created id=ord_288c0ac7 attempt=6/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=32s
2026-09-19T19:16:52Z webhook-dispatcher order.created id=ord_044e433d attempt=1/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=64s
2026-09-19T19:29:23Z webhook-dispatcher order.created id=ord_dd74c87b attempt=6/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=4s
2026-09-19T19:42:54Z webhook-dispatcher order.created id=ord_24d0b32f attempt=5/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=32s
2026-09-19T19:55:25Z webhook-dispatcher order.created id=ord_f1142dcd attempt=3/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=64s
2026-09-19T19:08:56Z webhook-dispatcher order.created id=ord_42ba6458 attempt=2/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=4s
2026-09-19T19:21:27Z webhook-dispatcher order.created id=ord_f25158e2 attempt=7/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=16s
2026-09-19T19:34:58Z webhook-dispatcher order.created id=ord_b79e434b attempt=1/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=16s
2026-09-19T19:47:29Z webhook-dispatcher order.created id=ord_bfe98bac attempt=4/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=128s
2026-09-19T19:00:00Z webhook-dispatcher order.created id=ord_2b8bdbda attempt=1/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=64s
2026-09-19T19:13:31Z webhook-dispatcher order.created id=ord_2fa25ddf attempt=4/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=2s
2026-09-19T19:26:02Z webhook-dispatcher order.created id=ord_9db36f12 attempt=3/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=128s
2026-09-19T19:39:33Z webhook-dispatcher order.created id=ord_3e46af97 attempt=1/8 endpoint=https://erp.halberdfen.example/hooks/orders status=timeout next_in=32s
2026-09-19T19:52:04Z webhook-dispatcher order.created id=ord_5f8cb1b3 attempt=7/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=16s
2026-09-19T19:05:35Z webhook-dispatcher order.created id=ord_92e19d7d attempt=7/8 endpoint=https://erp.halberdfen.example/hooks/orders status=429 next_in=32s
2026-09-19T19:18:06Z webhook-dispatcher order.created id=ord_9e295b16 attempt=6/8 endpoint=https://erp.halberdfen.example/hooks/orders status=429 next_in=128s
2026-09-19T19:31:37Z webhook-dispatcher order.created id=ord_8408987d attempt=1/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=2s
2026-09-19T19:44:08Z webhook-dispatcher order.created id=ord_669f3453 attempt=8/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=16s
2026-09-19T19:57:39Z webhook-dispatcher order.created id=ord_6f715dd9 attempt=4/8 endpoint=https://erp.halberdfen.example/hooks/orders status=500 next_in=64s
2026-09-19T19:10:10Z webhook-dispatcher order.created id=ord_e2c952a6 attempt=8/8 endpoint=https://erp.halberdfen.example/hooks/orders status=503 next_in=128s
2026-09-19T19:23:41Z webhook-dispatcher order.created id=ord_200d9cbf attempt=3/8 endpoint=https://erp.halberdfen.example/hooks/orders status=429 next_in=32s
